dataset,methods,communication latency,packet loss,translation error,rotation error,AP,ATE,ASE,AOE,AVE,AMOTA,AMOTP,RECALL,MOTAR,GT,MOTA,MOTP,MT,ML,FAF,TP,FP,FN,IDS,FRAG,TID,LGD
50scenes_25m,2b2-univ2x,0,0,0.5,0,0.428,0.492,0.127,0.228,3.449,0.498,1.106,0.568,0.767,8320,0.434,0.587,22,33,73.5,4708,1095,3596,16,104,6.09,14.14
50scenes_25m,2b2-univ2x,0,0,1,0,0.412,0.491,0.123,0.234,3.423,0.496,1.104,0.475,0.894,8320,0.424,0.514,19,45,28,3948,417,4367,5,62,8.2,13.3
50scenes_25m,2b2-univ2x,0,0,1.5,0,0.399,0.497,0.121,0.237,3.428,0.463,1.131,0.461,0.864,8320,0.397,0.504,19,45,35,3827,522,4481,12,75,7.19,14.96
50scenes_25m,2b2-univ2x,0,0,2,0,0.397,0.488,0.117,0.233,3.43,0.437,1.162,0.45,0.795,8320,0.356,0.483,19,45,51.4,3730,766,4577,13,78,7.56,16.68
50scenes_25m,2b2-univ2x,0,0,2.5,0,0.38,0.488,0.117,0.228,3.405,0.39,1.235,0.43,0.765,8320,0.326,0.474,17,44,56.1,3552,836,4742,26,87,9.06,20.19
50scenes_25m,2b2-univ2x,0,0,0,1,0.425,0.482,0.127,0.228,3.484,0.464,1.132,0.573,0.717,8320,0.409,0.588,22,30,90.1,4745,1343,3550,25,113,6.03,14.13
50scenes_25m,2b2-univ2x,0,0,0,2,0.428,0.477,0.125,0.228,3.465,0.472,1.128,0.476,0.868,8320,0.413,0.495,20,43,35,3955,521,4361,4,71,6.7,15.05
50scenes_25m,2b2-univ2x,0,0,0,3,0.411,0.479,0.125,0.233,3.462,0.468,1.129,0.456,0.871,8320,0.397,0.477,19,48,32.8,3789,488,4525,6,57,6.09,14.13
50scenes_25m,2b2-univ2x,0,0,0,4,0.399,0.481,0.125,0.236,3.486,0.444,1.165,0.411,0.884,8320,0.363,0.44,18,54,26.6,3417,397,4897,6,46,5.07,16.2
50scenes_25m,2b2-univ2x,0,0,0,5,0.401,0.474,0.122,0.233,3.471,0.449,1.161,0.428,0.891,8320,0.381,0.445,18,49,26,3556,388,4758,6,53,9.35,14.16
50scenes_25m,3-late fusion,0,0,0,0,0.378,0.33,0.698,0.159,2.954,0.377,1.044,0.341,0.809,8320,0.276,0.355,16,58,36.3,2837,541,5480,3,11,10.48,14.11
50scenes_25m,3-late fusion,100,0,0,0,0.375,0.331,0.697,0.155,2.957,0.378,1.046,0.333,0.846,8265,0.281,0.346,16,59,28.5,2744,422,5516,5,16,8.26,15.44
50scenes_25m,3-late fusion,200,0,0,0,0.366,0.335,0.697,0.15,2.958,0.356,1.083,0.33,0.833,8210,0.274,0.337,16,58,30.7,2705,452,5501,4,15,8.56,16.37
50scenes_25m,3-late fusion,300,0,0,0,0.356,0.333,0.696,0.147,2.947,0.338,1.081,0.33,0.815,8155,0.268,0.34,15,58,34,2686,497,5464,5,14,9.14,17.18
50scenes_25m,3-late fusion,400,0,0,0,0.346,0.321,0.695,0.145,2.942,0.319,1.114,0.328,0.736,8100,0.241,0.301,15,60,48.3,2655,700,5440,5,14,10.72,19.67
50scenes_25m,3-late fusion,0,0.1,0,0,0.369,0.318,0.696,0.153,2.954,0.374,1.081,0.33,0.825,8320,0.272,0.34,15,58,32.1,2737,478,5575,8,16,9.35,14.19
50scenes_25m,3-late fusion,0,0.2,0,0,0.363,0.306,0.694,0.155,2.969,0.377,1.076,0.485,0.547,8320,0.262,0.469,20,41,121,3981,1803,4284,55,63,7.98,15.07
50scenes_25m,3-late fusion,0,0.3,0,0,0.355,0.29,0.692,0.15,2.981,0.365,1.148,0.462,0.586,8320,0.266,0.439,17,44,105,3777,1564,4478,65,78,9.51,16.68
50scenes_25m,3-late fusion,0,0.4,0,0,0.342,0.27,0.689,0.135,2.967,0.36,1.186,0.44,0.645,8320,0.278,0.426,16,46,85.5,3589,1274,4661,70,82,10.93,17.16
50scenes_25m,3-late fusion,0,0.5,0,0,0.341,0.259,0.687,0.143,2.988,0.369,1.222,0.415,0.729,8320,0.296,0.406,16,48,61.5,3379,917,4866,75,87,11.61,17.46
